caldt,vwretd,vwretx
1945-01-31,0.020218,0.018951
1945-02-28,0.064477,0.059894
1945-03-31,-0.039177,-0.043164
1945-04-30,0.078232,0.076981
1945-05-31,0.018185,0.012439
1945-06-30,0.004676,0.001087
1945-07-31,-0.022066,-0.023305
1945-08-31,0.061826,0.057147
1945-09-29,0.048297,0.044969
1945-10-31,0.038749,0.037605
1945-11-30,0.054859,0.047862
1945-12-31,0.013003,0.009218
1946-01-31,0.063402,0.062228
1946-02-28,-0.058257,-0.061743
1946-03-30,0.057941,0.05462
1946-04-30,0.042293,0.041154
1946-05-31,0.040195,0.036075
1946-06-28,-0.038668,-0.041517
1946-07-31,-0.026309,-0.027697
1946-08-30,-0.064468,-0.06842
1946-09-30,-0.102023,-0.10541
1946-10-31,-0.014164,-0.015903
1946-11-30,0.000697,-0.006475
1946-12-31,0.050161,0.043412
1947-01-31,0.013084,0.011536
1947-02-28,-0.011091,-0.016381
1947-03-31,-0.01679,-0.020805
1947-04-30,-0.047698,-0.049487
1947-05-29,-0.009625,-0.016317
1947-06-30,0.053226,0.048538
1947-07-31,0.041348,0.039342
1947-08-29,-0.017357,-0.022668
1947-09-30,-0.004667,-0.009473
1947-10-31,0.024831,0.022847
1947-11-29,-0.01875,-0.028514
1947-12-31,0.030708,0.023249
1948-01-31,-0.037908,-0.039685
1948-02-28,-0.043422,-0.049502
1948-03-31,0.082628,0.076865
1948-04-30,0.038128,0.035972
1948-05-28,0.074319,0.068382
1948-06-30,-0.00028,-0.005419
1948-07-30,-0.050288,-0.05175
1948-08-31,0.003762,-0.0029
1948-09-30,-0.029813,-0.035123
1948-10-30,0.060316,0.057425
1948-11-30,-0.092077,-0.102565
1948-12-31,0.032566,0.024024
1949-01-31,0.003074,0.001118
1949-02-28,-0.028852,-0.036237
1949-03-31,0.041537,0.035339
1949-04-30,-0.017972,-0.020566
1949-05-31,-0.028488,-0.035515
1949-06-30,0.00218,-0.004382
1949-07-29,0.056377,0.054776
1949-08-31,0.026916,0.018887
1949-09-30,0.032082,0.027265
1949-10-31,0.031801,0.030002
1949-11-30,0.018535,0.004549
1949-12-31,0.052267,0.044769
1950-01-31,0.017764,0.015872
1950-02-28,0.015234,0.008173
1950-03-31,0.012742,0.007457
1950-04-29,0.040678,0.038736
1950-05-31,0.044173,0.036817
1950-06-30,-0.058018,-0.062799
1950-07-31,0.016122,0.014577
1950-08-31,0.050875,0.040213
1950-09-29,0.049044,0.044122
1950-10-31,-0.001184,-0.002931
1950-11-30,0.029056,0.012268
1950-12-30,0.057946,0.051048
1951-01-31,0.058735,0.056761
1951-02-28,0.014086,0.007435
1951-03-31,-0.021115,-0.025753
1951-04-30,0.050061,0.048488
1951-05-31,-0.022464,-0.02997
1951-06-29,-0.025533,-0.029834
1951-07-31,0.071611,0.070243
1951-08-31,0.045004,0.03675
1951-09-28,0.009087,0.005339
1951-10-31,-0.022629,-0.024556
1951-11-30,0.006193,-0.004035
1951-12-31,0.035266,0.030241
1952-01-31,0.017002,0.01542
1952-02-29,-0.025141,-0.032328
1952-03-31,0.04587,0.041726
1952-04-30,-0.049148,-0.050847
1952-05-29,0.032847,0.025367
1952-06-30,0.039575,0.035588
1952-07-31,0.011404,0.009897
1952-08-29,-0.006733,-0.013803
1952-09-30,-0.019147,-0.023065
1952-10-31,-0.005309,-0.00696
1952-11-28,0.059347,0.049762
1952-12-31,0.031066,0.026399
1953-01-30,-0.001644,-0.002728
1953-02-27,-0.00182,-0.009109
1953-03-31,-0.012862,-0.016681
1953-04-30,-0.027705,-0.029126
1953-05-29,0.006921,-0.000349
1953-06-30,-0.016377,-0.020523
1953-07-31,0.025111,0.023557
1953-08-31,-0.044056,-0.051365
1953-09-30,0.00301,-0.001313
1953-10-30,0.047523,0.045928
1953-11-30,0.028501,0.018445
1953-12-31,0.000678,-0.004642
1954-01-29,0.052722,0.0515
1954-02-26,0.017551,0.010325
1954-03-31,0.037377,0.033374
1954-04-30,0.043162,0.041819
1954-05-28,0.031704,0.025208
1954-06-30,0.01156,0.007767
1954-07-30,0.050668,0.049442
1954-08-31,-0.022763,-0.029369
1954-09-30,0.064633,0.061381
1954-10-29,-0.016216,-0.017622
1954-11-30,0.095387,0.086046
1954-12-31,0.055469,0.051806
1955-01-31,0.006838,0.006027
1955-02-28,0.031354,0.025725
1955-03-31,-0.000995,-0.004256
1955-04-29,0.032352,0.031343
1955-05-31,0.012033,0.00645
1955-06-30,0.066108,0.063181
1955-07-29,0.020246,0.019366
1955-08-31,0.004197,-0.001579
1955-09-30,-0.002009,-0.004543
1955-10-31,-0.025752,-0.026812
1955-11-30,0.071864,0.062697
1955-12-30,0.016543,0.01339
1956-01-31,-0.028119,-0.029475
1956-02-29,0.03961,0.034439
1956-03-29,0.068456,0.065641
1956-04-30,0.005083,0.004136
1956-05-31,-0.049309,-0.054848
1956-06-29,0.037251,0.03454
1956-07-31,0.05083,0.049531
1956-08-31,-0.02982,-0.034965
1956-09-28,-0.049608,-0.052064
1956-10-31,0.007292,0.005534
1956-11-30,0.004678,-0.002238
1956-12-31,0.034957,0.031548
